answer_id,visit_id,question_id,campaign_code,intervention_point_code,question_type,answer,expected_answer,created_at,updated_at_sys
1,1,4,CAM00001,PDV000056,S,"No, rechazan la instalación ",Si,2025-12-31,2026-02-16
2,1,12,CAM00001,PDV000056,T,Sin comentarios,Si,2025-12-31,2026-02-16
3,1,8,CAM00001,PDV000056,S,"0, No tienen stock",Si,2025-12-31,2026-02-16
4,1,6,CAM00001,PDV000056,S,"0, No esta expuesto",No,2025-12-31,2026-02-16
5,1,5,CAM00001,PDV000056,T,Auxiliar de farmacia,No,2025-12-31,2026-02-16
6,1,3,CAM00001,PDV000056,S,4,,2025-12-31,2026-02-16
7,1,9,CAM00001,PDV000056,T,Pendiente de confirmar,,2025-12-31,2026-02-16
8,1,7,CAM00001,PDV000056,M,Sacar del cajon,No,2025-12-31,2026-02-16
9,1,11,CAM00001,PDV000056,S,2,,2025-12-31,2026-02-16
10,1,13,CAM00001,PDV000056,T,,,2025-12-31,2026-02-16
11,1,1,CAM00001,PDV000056,M,Sacar del cajon,,2025-12-31,2026-02-16
12,1,2,CAM00001,PDV000056,M,Segundo espacio,,2025-12-31,2026-02-16
13,1,10,CAM00001,PDV000056,T,,,2025-12-31,2026-02-16
14,2,5,CAM00001,PDV000036,T,Farmacéutico adjunto,,2026-02-03,2026-05-14
15,2,1,CAM00001,PDV000036,M,Mejora altura ,,2026-02-03,2026-05-14
16,2,13,CAM00001,PDV000036,T,Titular disponible,,2026-02-03,2026-05-14
17,2,2,CAM00001,PDV000036,M,Mejora planograma,,2026-02-03,2026-05-14
18,2,12,CAM00001,PDV000036,T,,Si,2026-02-03,2026-05-14
19,2,8,CAM00001,PDV000036,S,2,,2026-02-03,2026-05-14
20,2,7,CAM00001,PDV000036,M,Mejora planograma,Si,2026-02-03,2026-05-14
21,2,9,CAM00001,PDV000036,T,Auxiliar de farmacia,,2026-02-03,2026-05-14
22,3,8,CAM00001,PDV000116,S,9,No,2026-03-04,2026-05-17
23,3,6,CAM00001,PDV000116,S,7,,2026-03-04,2026-05-17
24,3,,CAM00001,PDV000116,M,Segundo espacio,,2026-03-04,2026-05-17
25,3,1,CAM00001,PDV000116,M,Ampliar facings,,2026-03-04,2026-05-17
26,3,,CAM00001,PDV000116,T,Titular disponible,,2026-03-04,2026-05-17
27,3,4,CAM00001,PDV000116,S,,No,2026-03-04,2026-05-17
28,3,10,CAM00001,PDV000116,T,Auxiliar de farmacia,,2026-03-04,2026-05-17
29,3,2,CAM00001,PDV000116,M,Segundo espacio,Si,2026-03-04,2026-05-17
30,4,12,CAM00001,PDV000024,T,Titular disponible,Si,2026-01-30,2026-04-20
31,4,1,CAM00001,PDV000024,M,Mejora altura ,,2026-01-30,2026-04-20
32,4,13,CAM00001,PDV000024,T,Farmacéutico adjunto,,2026-01-30,2026-04-20
33,4,5,CAM00001,PDV000024,T,Pendiente de confirmar,,2026-01-30,2026-04-20
34,4,6,CAM00001,PDV000024,S,6,,2026-01-30,2026-04-20
35,4,11,CAM00001,PDV000024,S,3 ,,2026-01-30,2026-04-20
36,4,8,CAM00001,PDV000024,S,2,,2026-01-30,2026-04-20
37,4,3,CAM00001,PDV000024,S,6,,2026-01-30,2026-04-20
38,5,5,CAM00001,,T,Sin comentarios,Si,2026-01-01,2026-02-21
39,5,2,CAM00001,,M,Mejora planograma,,2026-01-01,2026-02-21
40,5,9,CAM00001,,T,OK,,2026-01-01,2026-02-21
41,6,1,CAM00001,PDV000113,M,Segundo espacio,,2026-01-03,2026-03-03
42,6,9,CAM00001,PDV000113,T,Pendiente de confirmar,No,2026-01-03,2026-03-03
43,6,3,CAM00001,PDV000113,S,10 o mas,Si,2026-01-03,2026-03-03
44,6,7,CAM00001,PDV000113,M,Mejora planograma,No,2026-01-03,2026-03-03
45,6,8,CAM00001,PDV000113,S,8,No,2026-01-03,2026-03-03
46,6,10,CAM00001,PDV000113,T,Pendiente de confirmar,Si,2026-01-03,2026-03-03
47,6,12,CAM00001,PDV000113,T,Titular disponible,Si,2026-01-03,2026-03-03
48,6,11,CAM00001,PDV000113,,5,Si,2026-01-03,2026-03-03
49,7,11,CAM00001,PDV000028,S,"0, No tienen stock",,2026-03-01,2026-04-17
50,7,1,CAM00001,PDV000028,M,Ampliar facings,,2026-03-01,2026-04-17
51,7,12,CAM00001,PDV000028,T,Titular disponible,Si,2026-03-01,2026-04-17
52,8,5,CAM00001,PDV000249,,Titular disponible,,2026-01-06,2026-02-28
53,8,2,CAM00001,PDV000249,M,,,2026-01-06,2026-02-28
54,8,8,CAM00001,PDV000249,S,"0, No esta expuesto",,2026-01-06,2026-02-28
55,8,12,CAM00001,PDV000249,T,Pendiente de confirmar,,2026-01-06,2026-02-28
56,8,6,CAM00001,PDV000249,S,4,Si,2026-01-06,2026-02-28
57,8,1,CAM00001,PDV000249,M,Ampliar facings,,2026-01-06,2026-02-28
58,8,11,CAM00001,PDV000249,S,1 ,,2026-01-06,2026-02-28
59,8,4,CAM00001,PDV000249,S,"No, rechazan la instalación",,2026-01-06,2026-02-28
60,9,8,CAM00001,PDV000024,S,8,Si,2026-02-20,2026-04-14
61,9,9,CAM00001,PDV000024,T,Auxiliar de farmacia,,2026-02-20,2026-04-14
62,9,4,CAM00001,PDV000024,S,Si,No,2026-02-20,2026-04-14
63,9,11,CAM00001,PDV000024,S,10 o mas,No,2026-02-20,2026-04-14
64,9,7,CAM00001,PDV000024,M,Mejora planograma,,2026-02-20,2026-04-14
65,9,13,CAM00001,PDV000024,T,,Si,2026-02-20,2026-04-14
66,9,3,CAM00001,PDV000024,S,9 ,,2026-02-20,2026-04-14
67,9,6,CAM00001,PDV000024,S,"0, No lo trabajan",,2026-02-20,2026-04-14
68,10,6,CAM00001,PDV000181,S,10 o mas,,2026-03-01,2026-04-14
69,10,10,CAM00001,PDV000181,T,Titular disponible,,2026-03-01,2026-04-14
70,10,2,CAM00001,PDV000181,M,Mejora altura,Si,2026-03-01,2026-04-14
71,10,13,CAM00001,PDV000181,T,Auxiliar de farmacia,,2026-03-01,2026-04-14
72,10,11,CAM00001,PDV000181,,,,2026-03-01,2026-04-14
73,10,7,CAM00001,PDV000181,M,Sacar del cajon,No,2026-03-01,2026-04-14
74,10,4,CAM00001,PDV000181,S,Si,Si,2026-03-01,2026-04-14
75,10,8,CAM00001,PDV000181,S,6,No,2026-03-01,2026-04-14
76,10,1,CAM00001,PDV000181,M,Ampliar facings,Si,2026-03-01,2026-04-14
77,10,12,CAM00001,PDV000181,T,Farmacéutico adjunto,,2026-03-01,2026-04-14
78,10,3,CAM00001,PDV000181,S,"0, No lo trabajan",,2026-03-01,2026-04-14
79,10,9,CAM00001,PDV000181,T,Pendiente de confirmar,No,2026-03-01,2026-04-14
80,10,5,CAM00001,PDV000181,T,Titular disponible,,2026-03-01,2026-04-14
81,11,10,CAM00001,PDV000172,T,Sin comentarios,,2026-03-03,2026-05-06
82,11,1,CAM00001,PDV000172,,Mejora planograma,,2026-03-03,2026-05-06
83,11,11,CAM00001,PDV000172,S,3,,2026-03-03,2026-05-06
84,11,6,CAM00001,PDV000172,S,6,,2026-03-03,2026-05-06
85,11,9,CAM00001,PDV000172,T,Titular disponible,No,2026-03-03,2026-05-06
86,11,4,CAM00001,PDV000172,S,"No, rechazan la instalación",No,2026-03-03,2026-05-06
87,11,12,CAM00001,PDV000172,T,,,2026-03-03,2026-05-06
